run_id,generated_utc,version,status,evaluation_rows,complete_rows,root_cause_rows,evaluated_cells,unique_root_causes,validation_status,top_cause,top_direction,top_cells,top_hit_rate_24h,top_avg_signed_return_24h_pct,top_maturity,more_decisions_for_research
root_cause_samples_20260710_112914,2026-07-10T11:29:14.568793+00:00,v8.2.0,NO_ROOT_CAUSE_SAMPLES_YET,51,49,0,0,0,NO_ROOT_CAUSE_ROWS_EVALUATED,,,,,,,10
root_cause_samples_20260710_112918,2026-07-10T11:29:18.686721+00:00,v8.2.0,NO_ROOT_CAUSE_SAMPLES_YET,51,49,0,0,0,NO_ROOT_CAUSE_ROWS_EVALUATED,,,,,,,10
root_cause_samples_20260710_112931,2026-07-10T11:29:31.766361+00:00,v8.2.0,NO_ROOT_CAUSE_SAMPLES_YET,51,49,0,0,0,NO_ROOT_CAUSE_ROWS_EVALUATED,,,,,,,10
root_cause_samples_20260710_112944,2026-07-10T11:29:44.451064+00:00,v8.2.0,NO_ROOT_CAUSE_SAMPLES_YET,51,49,0,0,0,NO_ROOT_CAUSE_ROWS_EVALUATED,,,,,,,10
root_cause_samples_20260710_181128,2026-07-10T18:11:28.798173+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,52,50,1,1,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,1,0.0,0.0,LOW_SAMPLE_ACCUMULATING,10
root_cause_samples_20260710_181132,2026-07-10T18:11:32.715080+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,52,50,1,1,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,1,0.0,0.0,LOW_SAMPLE_ACCUMULATING,10
root_cause_samples_20260710_181145,2026-07-10T18:11:45.363918+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,52,50,1,1,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,1,0.0,0.0,LOW_SAMPLE_ACCUMULATING,10
root_cause_samples_20260710_181158,2026-07-10T18:11:58.277626+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,52,50,1,1,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,1,0.0,0.0,LOW_SAMPLE_ACCUMULATING,10
root_cause_samples_20260710_233818,2026-07-10T23:38:18.954694+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,53,51,2,3,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,3,0.0,0.0,LOW_SAMPLE_ACCUMULATING,9
root_cause_samples_20260710_233822,2026-07-10T23:38:22.862499+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,53,51,2,3,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,3,0.0,0.0,LOW_SAMPLE_ACCUMULATING,9
root_cause_samples_20260710_233832,2026-07-10T23:38:32.504271+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,53,51,2,3,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,3,0.0,0.0,LOW_SAMPLE_ACCUMULATING,9
root_cause_samples_20260710_233844,2026-07-10T23:38:44.758042+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,53,51,2,3,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,3,0.0,0.0,LOW_SAMPLE_ACCUMULATING,9
root_cause_samples_20260711_072638,2026-07-11T07:26:38.334989+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,54,51,3,5,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,5,0.0,0.0,LOW_SAMPLE_ACCUMULATING,9
root_cause_samples_20260711_072642,2026-07-11T07:26:42.236489+00:00,v8.2.0,ROOT_CAUSE_SAMPLE_COLLECTION_ACTIVE_LOW_SAMPLE,54,51,3,5,1,ROOT_CAUSE_FORWARD_PROMISING_LOW_SAMPLE,MACRO_POLICY_PRESSURE,BEARISH,5,0.0,0.0,LOW_SAMPLE_ACCUMULATING,9
