run_id,generated_utc,status,horizon,min_samples,shadow_signals,evaluated_shadow_samples,confirmed_candidates,building_candidates,rejected_candidates,json_path,report_path
shadow_gate_20260707_125125,2026-07-07T12:51:25.622198+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,15,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_125125.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_125125.md
shadow_gate_20260707_125127,2026-07-07T12:51:27.191573+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,15,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_125127.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_125127.md
shadow_gate_20260707_125132,2026-07-07T12:51:32.656725+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,15,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_125132.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_125132.md
shadow_gate_20260707_154126,2026-07-07T15:41:26.459916+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,16,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_154126.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_154126.md
shadow_gate_20260707_154128,2026-07-07T15:41:28.561607+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,16,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_154128.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_154128.md
shadow_gate_20260707_154134,2026-07-07T15:41:34.438749+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,16,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_154134.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_154134.md
shadow_gate_20260707_192117,2026-07-07T19:21:17.299632+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,16,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_192117.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_192117.md
shadow_gate_20260707_192119,2026-07-07T19:21:19.459312+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,16,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_192119.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_192119.md
shadow_gate_20260707_192126,2026-07-07T19:21:26.304945+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,16,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_192126.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_192126.md
shadow_gate_20260707_233457,2026-07-07T23:34:57.126069+00:00,SHADOW_COLLECTING_FORWARD_DATA,24h,30,16,14,0,7,0,logs/shadow_gates/shadow_gate_status_shadow_gate_20260707_233457.json,logs/shadow_gates/shadow_gate_report_shadow_gate_20260707_233457.md
