symbol,timeframe,side,score,confidence,confidence_label,risk_label,actionability,regime,mtf_direction,mtf_consensus,mtf_quality,rank_score,provider,price,notes,opportunity_score,quality_label,quality_stars,recommendation,trade_quality_grade,trade_quality_score,first_rr,best_rr,recommended_risk_pct,position_notional,expected_drawdown_pct,historical_win_probability,probability_ci_low,probability_ci_high,expected_r,calibration_samples,calibration_status,calibration_usable,allocation_pct,shadow_allocation_pct,decision_timestamp,entry_zone,stop_zone,targets,breadth_mode,breadth_strength,breadth_market_agreement,breadth_opportunity_strength,breadth_risk_tone,breadth_bullish_pct,breadth_bearish_pct,breadth_neutral_pct,breadth_avg_opportunity,daily_report_file
BNB/USDT,4h,LONG,58,56,Low-Medium,Low,WATCHLIST,TRENDING_BULL,NEUTRAL,65,MIXED,69.2,kucoin,582.689,ارزش زیرنظر گرفتن دارد | MTF هنوز جهت‌دار نیست,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,35,27,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,1.05,kraken,0.07645,فعلاً فقط مانیتور شود | MTF هنوز جهت‌دار نیست,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,33,25,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,0.0,kucoin,1763.54,فعلاً فقط مانیتور شود | MTF هنوز جهت‌دار نیست,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,31,23,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,0.0,kucoin,62695.4,فعلاً فقط مانیتور شود | MTF هنوز جهت‌دار نیست,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,22,14,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,0.0,kucoin,1.1319,فعلاً فقط مانیتور شود | MTF هنوز جهت‌دار نیست,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,17,13,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,100,NEUTRAL_DOMINANT,0.0,kucoin,80.85,فعلاً فقط مانیتور شود | MTF هنوز جهت‌دار نیست,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,58,56,Low-Medium,Low,WATCHLIST,TRENDING_BULL,NEUTRAL,65,MIXED,59.59,53.01,Weak,⭐⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USDT,4h,NEUTRAL,36,28,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.89,5.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,36,28,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.89,5.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,31,22,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,4.21,2.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USDT,4h,NEUTRAL,27,22,Low,Low,MONITOR_ONLY,QUIET,NEUTRAL,100,NEUTRAL_DOMINANT,2.61,0.6,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRP/USDT,4h,NEUTRAL,24,16,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,85,NEUTRAL_DOMINANT,1.68,0.0,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNB/USDT,4h,LONG,54,52,Low-Medium,Low,NOT_ACTIONABLE,TRENDING_BULL,NEUTRAL,65,MIXED,41.17,34.91,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USDT,4h,NEUTRAL,36,28,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,7.89,5.25,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USDT,4h,NEUTRAL,33,24,Low,Low,MONITOR_ONLY,TRENDING_BULL,NEUTRAL,100,NEUTRAL_DOMINANT,5.57,3.2,Ignore,⭐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
